title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
12072,22,Done,1.078,-4.14581,glide-grid_1,-4.14581,-0.548473,-0.32,0,-2.44799,-17.4538,-3.87584,0.624717,0,-24.7749,-21.3296,0.819417
14896,23,Done,0.609,-3.53068,glide-grid_1,-3.53068,-0.381024,0,0,-2.39001,-12.2895,-0.967812,0,0,-19.2649,-13.2573,0
23915,24,GRID-ENERGY MIN FAILED,0.437,,,,,,,,,,,,,,
31211,25,Done,2.204,-4.56895,glide-grid_1,-4.56895,-1.29261,-0.162858,0,-2.19949,-18.6516,-5.59229,0.85744,0,-28.9976,-24.2439,3.69186
31253,26,Done,9.469,-0.673806,glide-grid_1,-0.673806,-1.3473,0,0,-2.25,0.908899,-1.11347,3.04507,0,1.29763,-0.204571,4.47957
62566,27,Done,1.281,-3.74077,glide-grid_1,-3.74077,-0.887623,0,0,-2.01579,-15.0681,-0.559732,0,0,-18.0307,-15.6278,2.02084
64945,28,GRID-ENERGY MIN FAILED,2.938,,,,,,,,,,,,,,
66841,29,Done,1.172,-4.47698,glide-grid_1,-4.47698,-1.36514,0,0,-2.25,-16.0671,-0.389874,0,0,-20.4325,-16.457,0.13643
68289,30,Done,0.734,-6.11045,glide-grid_1,-6.11045,-1.07684,-0.681286,0,-2.69642,-15.1965,-5.97385,0,0,-29.6923,-21.1704,0.619211
72307,31,Done,2.015,-4.39439,glide-grid_1,-4.39439,-1.5569,0,0,-1.44305,-32.6848,-0.0854551,0.304345,-0.051734,-41.0315,-32.7703,1.14309
72326,32,GRID-ENERGY MIN FAILED,0.875,,,,,,,,,,,,,,
73057,33,NO POSES STORED FOR LIGAND,1.969,,,,,,,,,,,,,,
73117,34,Done,5.437,-4.26477,glide-grid_1,-4.26477,-1.47959,-0.0918918,0,-0.774285,-28.7957,-4.9326,0.260668,0,-42.4182,-33.7283,0.319163
81722,35,Done,1.375,-3.70382,glide-grid_1,-3.70382,-0.504687,-0.16,0,-2.40483,-12.3985,-4.26062,0.624717,0,-17.7399,-16.6591,0.316085
91472,36,GRID-ENERGY MIN FAILED,0.391,,,,,,,,,,,,,,
92231,37,Done,3.313,-5.38876,glide-grid_1,-5.38876,-1.69671,-0.32,0,-1.9067,-22.0769,-2.41003,0,0,-31.4952,-24.4869,1.09695
92802,38,GRID-ENERGY MIN FAILED,0.86,,,,,,,,,,,,,,
93009,39,Done,1.016,-3.76876,glide-grid_1,-3.76876,-0.701571,-0.16,0,-2.07078,-15.1597,-3.24138,0.421275,-0.0134942,-22.8153,-18.4011,0.221334
95779,40,Done,1.312,-6.2434,glide-grid_1,-6.2434,-2.02562,-0.311033,0,-2.25,-19.2809,-4.61798,0,0,-33.5552,-23.8989,1.35496
