title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
5281708,95,Done,0.703,-5.91599,glide-grid_13,-5.94449,-1.58862,-0.32,0,-1.67565,-31.0209,-7.20807,0.272039,0,-51.5621,-38.229,0.269906
5283356,96,Done,9.641,2.37829,glide-grid_13,2.37829,-1.93494,0,0,-2.25,-16.8606,-1.09017,7.59785,-0.0280583,-12.7521,-17.9508,4.14843
5315645,97,Done,0.969,-3.42961,glide-grid_13,-3.42961,-1.57155,0,0,-1.89296,-16.0893,-1.23987,1.02534,0,-21.0968,-17.3292,0.534477
5317082,98,Done,0.39,-4.50049,glide-grid_13,-4.63469,-1.14926,-0.31732,0,-1.9409,-22.8189,-2.98047,0.360814,0,-32.6332,-25.7993,0.700255
5317806,99,Done,1.078,-3.66434,glide-grid_13,-3.66434,-0.613789,-0.0251157,0,-1.11013,-26.2857,-4.00681,0,0,-36.6681,-30.2925,0.869801
5317807,100,Done,0.953,-3.49224,glide-grid_13,-3.49224,-0.81727,-0.0479023,0,-0.854,-29.8541,-1.8691,0,0,-37.6121,-31.7232,1.53947
5318565,101,Done,0.672,-5.14794,glide-grid_13,-5.18174,-1.28566,-0.081336,0,-1.89413,-25.9485,-4.15458,0,0,-39.5802,-30.1031,0.254815
5318635,102,Done,8.703,-1.12073,glide-grid_13,-1.12073,-2.29057,-0.16,0,-1.98859,-18.231,-2.10353,4.57663,-0.0311166,-21.372,-20.3345,0.923986
5365891,103,Done,0.953,-2.92903,glide-grid_13,-2.92903,-1.71638,-0.16,0,-2.45531,-16.7517,-2.23089,2.57487,0,-21.9442,-18.9826,1.43878
6450812,104,Done,0.422,-3.81104,glide-grid_13,-3.81104,-0.915191,0,0,-2.01579,-17.7765,0.0584024,0,0,-21.7846,-17.7181,0
6603886,105,Done,2.718,-6.14922,glide-grid_13,-6.80732,-1.71953,-1.06462,0,-1.66191,-28.4646,-11.4331,0.805117,-0.0281808,-52.0188,-39.8977,8.72394
6603886,106,Done,1.766,-5.66205,glide-grid_13,-6.16785,-1.87547,-0.64,0,-1.66878,-27.8545,-9.18421,0.810589,-0.0238312,-49.1522,-37.0387,5.51864
6999975,107,Done,6.234,-0.387706,glide-grid_13,-0.387706,-1.87883,-0.152962,0,-2.05703,-17.7112,-2.41619,4.97009,-0.0209857,-18.9718,-20.1274,3.32619
7057972,108,Done,0.875,-4.7461,glide-grid_13,-4.7461,-1.54936,-0.301749,0,-2.37636,-19.2612,-1.77985,0.7114,0,-25.3602,-21.0411,3.82176
11495015,109,Done,0.985,-3.55996,glide-grid_13,-3.55996,-0.560081,-0.20105,0,-1.12558,-29.4748,-1.33006,0,0,-37.0888,-30.8049,1.35302
12303902,110,Done,0.484,-4.5802,glide-grid_13,-4.5802,-1.94021,0,0,-2.01579,-13.2449,0.253689,0,0,-16.3894,-12.9913,0.576252
12444363,111,Done,0.906,-1.82464,glide-grid_13,-4.00564,-1.06542,-0.380205,0,-2.11184,-21.8615,-2.48747,1.01802,0,-30.1481,-24.349,0.273451
12444363,112,Done,0.61,-4.08,glide-grid_13,-4.0951,-0.801875,-0.32,0,-2.06262,-20.926,-5.83067,1.01029,0,-33.4389,-26.7567,3.87422
12444363,113,Done,0.719,-4.38689,glide-grid_13,-4.40199,-0.946097,-0.184348,0,-2.10459,-17.3517,-8.33524,1.01029,-0.0593725,-34.6522,-25.687,0.15512
14992068,114,Done,1.5,-3.94799,glide-grid_13,-3.94799,-0.517503,-0.322309,0,-1.11983,-24.5723,-5.06496,0,0,-37.1853,-29.6372,0.238596
